response set access code,question.text,question.short_text,question.help_text,question.pick,question.reference_identifier,question.data_export_identifier,question.common_namespace,question.common_identifier,question.display_order,question.display_type,question.is_mandatory,question.display_width,question.custom_class,question.custom_renderer,answer.text,answer.short_text,answer.help_text,answer.weight,answer.response_class,answer.reference_identifier,answer.data_export_identifier,answer.common_namespace,answer.common_identifier,answer.display_order,answer.is_exclusive,answer.display_length,answer.custom_class,answer.custom_renderer,answer.default_value,answer.display_type,answer.input_mask,answer.input_mask_placeholder,response.datetime_value,response.integer_value,response.float_value,response.unit,response.text_value,response.string_value,response.response_other,response.response_group,response.created_at,response.updated_at
Z88VRqyVvg,When you had oral sex the first time how old were you?,,,none,26b1,"",,,7,default,false,,,,String,,,,string,,"",,,0,false,,,,,hidden_label,,,,,,,,21,,,2013-09-26 18:16:25 UTC,2013-09-26 18:16:25 UTC
Z88VRqyVvg,Current relationship status: (Choose only one),,,one,5,"",,,4,default,false,,,,Divorced (How long? (MM/YY),,,,string,,"",,,5,false,,,,,default,,,,,,,,"",,,2013-09-26 19:50:57 UTC,2013-10-17 15:29:03 UTC
Z88VRqyVvg,Are you a _______________?,,,one,6,"",,,5,default,false,,,,International student,,,,answer,,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 19:50:59 UTC,2013-10-17 15:29:03 UTC
Z88VRqyVvg,Do you have a cochlear implant (CI)?,,,one,7d,"",,,4,default,false,,,,No,,,,answer,4,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 19:51:34 UTC,2013-09-26 19:52:01 UTC
Z88VRqyVvg,When did you start to learn Spoken English? (Choose only one),,,one,13,"",,,10,default,false,,,,Birth,,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 19:52:25 UTC,2013-09-26 19:52:25 UTC
Z88VRqyVvg,When did you start to learn written English?,,,one,14,"",,,11,default,false,,,,Age:,,,,integer,,"",,,0,false,,,,,default,,,,12,,,,,,,2013-09-26 19:52:28 UTC,2013-09-26 19:52:34 UTC
Z88VRqyVvg,What is your mother’s highest educational level? (Choose only one),,,one,23,"",,,27,default,false,,,,High School Graduate,,,,answer,,"",,,3,false,,,,,default,,,,,,,,,,,2013-09-26 19:52:34 UTC,2013-09-26 19:52:34 UTC
Z88VRqyVvg,Have you ever had anal sex?,,,one,26c,"",,,12,default,false,,,,No,,,,answer,n,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 19:53:48 UTC,2013-09-26 19:53:50 UTC
Z88VRqyVvg,"Have you ever had sex in any way other than vaginal, oral, or anal?",,,one,26d,"",,,18,default,false,,,,Yes,,,,answer,y,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 19:54:12 UTC,2013-09-26 19:54:12 UTC
Z88VRqyVvg,SMS (Cell phone text),,,one,,"",,,0,default,false,,,,Daily,Daily,,,answer,,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 19:54:53 UTC,2013-09-26 19:54:53 UTC
Z88VRqyVvg,Twitter,,,one,,"",,,1,default,false,,,,Monthly,Monthly,,,answer,,"",,,3,false,,,,,default,,,,,,,,,,,2013-09-26 19:54:54 UTC,2013-09-26 19:54:54 UTC
Z88VRqyVvg,LinkedIn,,,one,,"",,,4,default,false,,,,Every Several Months,Every Several Months,,,answer,,"",,,4,false,,,,,default,,,,,,,,,,,2013-09-26 19:54:56 UTC,2013-09-26 19:54:56 UTC
Z88VRqyVvg,Instagram,,,one,,"",,,7,default,false,,,,Never,Never,,,answer,,"",,,5,false,,,,,default,,,,,,,,,,,2013-09-26 19:54:57 UTC,2013-09-26 19:54:57 UTC
Z88VRqyVvg,IPhone,,,one,,"",,,12,default,false,,,,Daily,Daily,,,answer,,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:02 UTC,2013-09-26 19:55:02 UTC
Z88VRqyVvg,Blackberry,,,one,,"",,,13,default,false,,,,Weekly,Weekly,,,answer,,"",,,2,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:04 UTC,2013-09-26 19:55:04 UTC
Z88VRqyVvg,Apple Laptop,,,one,,"",,,15,default,false,,,,Hourly,Hourly,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:05 UTC,2013-09-26 19:55:05 UTC
Z88VRqyVvg,Linux Laptop,,,one,,"",,,17,default,false,,,,Monthly,Monthly,,,answer,,"",,,3,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:08 UTC,2013-09-26 19:55:08 UTC
Z88VRqyVvg,Facebook is part of my everyday activity,,,one,,"",,,22,default,false,,,,3,3,,,answer,,"",,,2,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:41 UTC,2013-09-26 19:55:41 UTC
Z88VRqyVvg,I am proud to tell people I'm on Facebook,,,one,,"",,,23,default,false,,,,3,3,,,answer,,"",,,2,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:42 UTC,2013-09-26 19:55:42 UTC
Z88VRqyVvg,Facebook has become part of my daily routine,,,one,,"",,,24,default,false,,,,1,1,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:43 UTC,2013-09-26 19:55:43 UTC
Z88VRqyVvg,I feel out of touch when I haven't logged onto Facebook for a while,,,one,,"",,,25,default,false,,,,3,3,,,answer,,"",,,2,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:43 UTC,2013-09-26 19:55:43 UTC
Z88VRqyVvg,I feel I am part of the Facebook community,,,one,,"",,,26,default,false,,,,3,3,,,answer,,"",,,2,false,,,,,default,,,,,,,,,,,2013-09-26 19:55:45 UTC,2013-09-26 19:55:45 UTC
Z88VRqyVvg,Are you concerned that you are at risk for HIV/AIDS?,,,one,44,"",,,32,default,false,,,,No,,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-10-03 17:55:52 UTC,2013-10-03 17:55:54 UTC
